,diagrp,Cause,SOdm,Occupation,Observed,Exp_Adj,PMR_Adj,Lower_Adj,Upper_Adj,Exp_Unadj,PMR_Unadj,Lower_Unadj,Upper_Unadj
8555,48,Cancer of the thyroid,49,Police,7,1.931904,362.3369,145.6801,746.5538,1.834727,381.5282,153.3961,786.0952
19465,110,Polyarthritis nodosa,104,Carpenters & Joiners,7,1.934227,361.9017,145.5052,745.6572,2.479649,282.2981,113.5,581.6429
23301,131,Asbestosis,144,"Plumbers, Heating & Ventilating Engineers & Related Trades",12,3.329395,360.4258,186.238,629.5919,2.822497,425.1555,219.6849,742.6616
13638,78,Other alcohol-related diseases,64,Undertakers,6,1.683885,356.3189,130.7631,775.5578,1.499696,400.081,146.8231,870.8096
1492,9,Cancer of the oral cavity,45,Publicans and Bar staff,42,11.83135,354.989,255.8448,479.842,11.54542,363.7807,262.1811,491.7258
143,1,Intestinal infectious diseases,160,Painters & Decorators,9,2.564787,350.9063,160.4577,666.1293,3.028709,297.1563,135.8797,564.0952
36778,206,Fracture unspecified,36,Seafarers,9,2.576147,349.3589,159.7502,663.1918,2.300498,391.2197,178.8917,742.6567
36924,207,Fall unspecified,1,Lawyers,6,1.729389,346.9434,127.3224,755.1512,1.57413,381.1631,139.8805,829.6331
4439,25,Cancer of the pleura,101,Upholsterers,9,2.596204,346.66,158.5161,658.0686,1.809842,497.281,227.39,943.994
1947,11,Cancer of the pharynx (specified),148,"Scaffolders, Stagers, Steeplejacks, Riggers",8,2.376286,336.6599,145.3445,663.3546,2.602718,307.371,132.6998,605.6439
5391,30,Melanoma of skin,158,Coach Painters,10,2.979062,335.6761,160.9701,617.3218,3.862202,258.9197,124.1623,476.1637
4477,25,Cancer of the pleura,144,"Plumbers, Heating & Ventilating Engineers & Related Trades",78,23.29551,334.8285,264.6682,417.881,16.35432,476.9382,377.0001,595.2404
30647,172,"Infections of skin, joints and bones",59,Cooks and Kitchen Porters,6,1.811104,331.2897,121.5778,721.0797,1.881287,318.9306,117.0422,694.1791
13610,78,Other alcohol-related diseases,36,Seafarers,52,15.78312,329.466,246.061,432.0509,15.58018,333.7573,249.266,437.6785
303,2,Tuberculosis,130,Precision Instrument Makers & Repairers,7,2.138664,327.3071,131.5962,674.3789,2.382416,293.8194,118.1322,605.3812
4375,25,Cancer of the pleura,32,Laboratory Technicians,8,2.457357,325.553,140.5494,641.4697,3.779092,211.6911,91.39232,417.1161
14931,85,Motor neuron disease,94,Compositors,7,2.151159,325.406,130.8318,670.4619,2.359018,296.7336,119.3039,611.3857
18275,103,Chronic and unspecified myocarditis,194,"Electrical, Energy, Boiler & Related Plant Operatives & Att",6,1.848761,324.5417,119.1014,706.3922,1.568465,382.5396,140.3857,832.6294
4479,25,Cancer of the pleura,146,"Metal Plate Workers, Shipwrights, Riveters",26,8.110162,320.5855,209.4175,469.7317,5.659754,459.384,300.0855,673.1035
4374,25,Cancer of the pleura,31,Draughtspersons,14,4.375232,319.9831,174.937,536.8767,6.558698,213.457,116.6985,358.1443
10348,59,Chronic myeloid leukaemia,32,Laboratory Technicians,6,1.87874,319.3629,117.2009,695.12,1.742725,344.2884,126.3481,749.3723
14345,82,Encephalitis,47,Farmers,6,1.883951,318.4797,116.8767,693.1976,1.661718,361.0721,132.5074,785.9036
40296,225,Other accidents,122,"Centre, Capstan, Turret & Other Lathe Setters & Setter-Oper",7,2.215969,315.8889,127.0054,650.853,2.538136,275.7929,110.8845,568.2398
26789,151,Other colitis,2,Accountants and Financial Managers,7,2.252338,310.7881,124.9546,640.3434,2.407694,290.7346,116.8919,599.0255
9395,53,Hodgkin's disease,182,Bus & Coach Drivers,8,2.577688,310.3557,133.9883,611.5248,2.585748,309.3883,133.5706,609.6187
18945,107,Other aneurysm,129,"Tool Makers, Tool Fitters & Markers-Out",9,2.924962,307.6963,140.6992,584.1032,2.803281,321.0524,146.8066,609.4574
1854,11,Cancer of the pharynx (specified),45,Publicans and Bar staff,27,8.83329,305.6619,201.4334,444.7222,8.59779,314.0342,206.9509,456.9035
17607,100,Aortic valve disorders,51,"Launderers, Dry Cleaners, Pressers",6,1.977573,303.4022,111.3436,660.3802,2.007492,298.8805,109.6842,650.5382
812,5,Septicaemia,93,Plastic goods makers,6,1.992051,301.1971,110.5343,655.5807,2.087667,287.4022,105.4718,625.5547
28491,160,Glomerulonephritis,75,Chemical workers,8,2.662756,300.4406,129.7077,591.988,2.902164,275.6563,119.0077,543.1533
21139,119,Other bacterial pneumonia,160,Painters & Decorators,9,3.000766,299.9235,137.145,569.348,2.788015,322.8104,147.6104,612.7945
27822,156,Cirrhosis (not specified as biliary),140,"Cable Jointers, Lines Repairers",6,2.010185,298.48,109.5372,649.6666,2.3595,254.2912,93.32063,553.486
36027,202,Fall from building,9,Other Administrators,6,2.037288,294.5091,108.0799,641.0237,2.046427,293.194,107.5973,638.1612
40383,226,Suicide,21,Other Health Professions,11,3.793596,289.9623,144.7492,518.8217,3.390552,324.4309,161.9559,580.4954
40739,228,Injury undetermined as accidental or purposef,15,Doctors,6,2.086102,287.6177,105.5509,626.0239,2.090168,287.0582,105.3456,624.8062
19782,112,Arteritis,54,"Postal Workers, Mail Sorters",6,2.086187,287.6061,105.5466,625.9987,2.576415,232.8818,85.46373,506.8866
27462,154,Peritonitis,142,Other Electrical/Electronic Trades nes,7,2.43764,287.1629,115.4559,591.6664,2.294146,305.1245,122.6775,628.6741
40414,226,Suicide,52,Hairdressers,6,2.09208,286.7959,105.2493,624.2352,2.282902,262.8233,96.45177,572.0568
7902,44,Cancer of the kidney (except pelvis),127,Fettler,8,2.803907,285.3162,123.1781,562.187,3.115927,256.7454,110.8434,505.8912
36427,204,Other fall,47,Farmers,6,2.121289,282.8468,103.8001,615.6397,2.817114,212.9839,78.16155,463.5773
18371,104,Sub-arachnoid haemorrhage,96,Printing Machine Minders & Assistants,8,2.828469,282.8385,122.1085,557.3051,3.027025,264.2859,114.0988,520.7488
3239,18,Cancer of the gall bladder,180,Railway engine drivers,8,2.842773,281.4154,121.494,554.5009,2.985996,267.9174,115.6666,527.9044
15914,90,Chronic rheumatic heart disease,185,Bus Conductors and Drivers' Mates,6,2.143375,279.9323,102.7305,609.296,2.089555,287.1425,105.3765,624.9896
18370,104,Sub-arachnoid haemorrhage,94,Compositors,6,2.145073,279.7108,102.6492,608.8138,2.29259,261.7128,96.04422,569.6396
40318,225,Other accidents,147,Steel Erectors,6,2.154287,278.5144,102.2102,606.2099,2.469856,242.9292,89.15096,528.7556
17062,97,Endocarditis,49,Police,7,2.529302,276.7562,111.2718,570.2245,2.164601,323.3853,130.0194,666.2985
4380,25,Cancer of the pleura,37,Other Technicians,12,4.377604,274.1226,141.6437,478.8373,6.681153,179.6097,92.80733,313.7422
5196,29,Cancer of soft tissue,139,Telephone Fitters,6,2.197182,273.077,100.2147,594.3749,2.316382,259.0247,95.05773,563.7888
35827,200,Fall on stairs,188,Fork Lift & Mechanical Truck Drivers,6,2.200791,272.6293,100.0504,593.4003,2.422799,247.6475,90.8825,539.0254
18332,104,Sub-arachnoid haemorrhage,52,Hairdressers,6,2.214011,271.0013,99.45296,589.8569,2.269526,264.3724,97.02026,575.4285
15891,90,Chronic rheumatic heart disease,161,Assemblers/Lineworkers (electrical/electronic goods),6,2.232419,268.7667,98.6329,584.9932,2.212199,271.2233,99.53444,590.3401
32231,181,Motor vehicle traffic accidents,14,Clergy,11,4.092809,268.7641,134.167,480.8922,3.168939,347.1193,173.282,621.0911
19176,108,Peripheral valve disease,189,Slingers,7,2.604833,268.7312,108.0453,553.6899,2.544931,275.0566,110.5885,566.7227
1483,9,Cancer of the oral cavity,36,Seafarers,21,7.835247,268.0196,165.908,409.696,7.919539,265.1669,164.1421,405.3354
5082,29,Cancer of soft tissue,15,Doctors,9,3.363968,267.5412,122.3377,507.8764,2.075903,433.5462,198.2462,823.0056
13608,78,Other alcohol-related diseases,34,Aircraft Flight Deck Officers,6,2.243852,267.3973,98.13035,582.0125,1.788426,335.4905,123.1194,730.2231
20476,116,Acute bronchitis,24,Literary and Artistic Occupations,6,2.247811,266.9263,97.95752,580.9874,2.757578,217.5822,79.84906,473.5859
8148,46,Cancer of the brain,4,Economists & statisticians,6,2.261905,265.2632,97.34716,577.3674,1.241413,483.3202,177.3705,1051.987
30720,172,"Infections of skin, joints and bones",142,Other Electrical/Electronic Trades nes,6,2.269332,264.395,97.02855,575.4777,2.362622,253.9551,93.1973,552.7545
4519,25,Cancer of the pleura,194,"Electrical, Energy, Boiler & Related Plant Operatives & Att",15,5.691103,263.5693,147.518,434.7171,6.781725,221.1827,123.7945,364.8069
16356,93,Pulmonary embolism and phlebitis,67,Tannery Production Operatives,6,2.288879,262.1371,96.19994,570.5632,2.411612,248.7963,91.30408,541.5258
18410,104,Sub-arachnoid haemorrhage,140,"Cable Jointers, Lines Repairers",6,2.295828,261.3436,95.90876,568.8362,2.457821,244.1186,89.58746,531.3445
28583,160,Glomerulonephritis,184,Other motor drivers,6,2.301709,260.6759,95.66371,567.3828,2.365878,253.6056,93.06903,551.9938
20905,118,Pneumoccal and unspecified lobar pneumonia,96,Printing Machine Minders & Assistants,7,2.687682,260.4475,104.7148,536.6223,2.673299,261.8488,105.2782,539.5095
19591,111,Wegener's granulomatosis,44,Retailers and Dealers,6,2.310354,259.7005,95.30574,565.2597,1.823355,329.0637,120.7609,716.2346
4026,23,Cancer of the larynx,45,Publicans and Bar staff,43,16.56386,259.6013,187.8747,349.6812,17.87938,240.5006,174.0514,323.9526
1855,11,Cancer of the pharynx (specified),46,Caterers,12,4.630621,259.1445,133.9043,452.6736,4.97454,241.2283,124.6467,421.3776
27366,154,Peritonitis,36,Seafarers,6,2.316829,258.9746,95.03938,563.6799,2.3828,251.8046,92.4081,548.0738
2954,17,Cancer of the liver,59,Cooks and Kitchen Porters,37,14.29312,258.8658,182.2654,356.8123,16.21848,228.1348,160.6279,314.4536
3718,21,Cancer of the peritoneum,104,Carpenters & Joiners,6,2.325467,258.0127,94.68637,561.5862,2.662647,225.3396,82.69589,490.4705
4017,23,Cancer of the larynx,36,Seafarers,32,12.41302,257.7939,176.331,363.9284,12.26237,260.9609,178.4973,368.3994
156,1,Intestinal infectious diseases,174,Other Construction Workers,10,3.887126,257.2595,123.3662,473.1105,3.384247,295.4867,141.6977,543.4119
20959,118,Pneumoccal and unspecified lobar pneumonia,161,Assemblers/Lineworkers (electrical/electronic goods),8,3.112495,257.0286,110.9657,506.4491,2.764248,289.4096,124.9454,570.2527
11653,67,Diabetes,70,Spinners and Winders,10,3.912791,255.5721,122.557,470.0072,3.968801,251.9653,120.8274,463.3742
13633,78,Other alcohol-related diseases,59,Cooks and Kitchen Porters,28,10.98399,254.9164,169.3901,368.4252,12.28798,227.8649,151.4146,329.3282
27284,153,Diverticular disease,145,Sheet Metal Workers,13,5.106769,254.5641,135.5456,435.3125,4.953835,262.4229,139.7301,448.7513
2821,16,Cancer of the rectum,113,Rollers,6,2.357802,254.4743,93.38783,553.8845,2.346101,255.7434,93.85358,556.6469
17630,100,Aortic valve disorders,74,Other Textile Processing Operatives,9,3.54274,254.0407,116.1643,482.2482,3.634458,247.6297,113.2328,470.0783
1932,11,Cancer of the pharynx (specified),130,Precision Instrument Makers & Repairers,7,2.755886,254.0018,102.1232,523.3416,2.86026,244.733,98.39663,504.2443
16020,91,Hypertensive disease,98,Tailors & Dressmakers,12,4.730092,253.6949,131.0884,443.1542,4.864572,246.6815,127.4645,430.9033
27117,152,Volvulus,165,"Bricklayers, Masons",6,2.371774,252.9752,92.83769,550.6217,3.076283,195.0406,71.57664,424.522
13619,78,Other alcohol-related diseases,45,Publicans and Bar staff,69,27.32027,252.5598,196.5065,319.6305,22.70746,303.8649,236.425,384.5605
24630,139,Fibrosing alveolitis,15,Doctors,21,8.346111,251.6142,155.7528,384.6187,6.308264,332.8967,206.0678,508.8674
17867,101,Other cardiomyopathies,140,"Cable Jointers, Lines Repairers",7,2.784241,251.415,101.0832,518.0119,2.926693,239.1778,96.16314,492.7985
239,2,Tuberculosis,59,Cooks and Kitchen Porters,9,3.595781,250.2933,114.4508,475.1346,3.646302,246.8254,112.865,468.5515
24638,139,Fibrosing alveolitis,23,Driving Instructors (excluding HGV),9,3.598949,250.073,114.3501,474.7164,3.289416,273.6048,125.1104,519.387
1652,10,Cancer of the salivary glands,24,Literary and Artistic Occupations,7,2.803801,249.6611,100.378,514.3981,2.484661,281.7286,113.271,580.4695
826,5,Septicaemia,108,Woodworking Machine Operatives,6,2.412079,248.7481,91.28642,541.421,2.764778,217.0156,79.64111,472.3526
28338,159,Pancreatitis,108,Woodworking Machine Operatives,6,2.427486,247.1693,90.70702,537.9846,2.52237,237.8715,87.29487,517.7471
27754,156,Cirrhosis (not specified as biliary),62,Ambulance Staff,6,2.44896,245.0019,89.91162,533.2671,2.871748,208.932,76.67455,454.7579
13711,78,Other alcohol-related diseases,147,Steel Erectors,17,6.981516,243.5001,141.8474,389.8666,8.092591,210.0687,122.3724,336.3398
15347,87,Epilepsy,160,Painters & Decorators,12,4.931348,243.3412,125.7384,425.0684,5.966673,201.1171,103.9206,351.3114
26936,151,Other colitis,165,"Bricklayers, Masons",6,2.465841,243.3247,89.29612,529.6165,2.603546,230.4549,84.57311,501.6043
25066,141,Gastric ulcer,93,Plastic goods makers,6,2.466382,243.2713,89.27653,529.5004,2.257492,265.7817,97.53746,578.496
3899,22,Cancer of the nose and nasal sinuses,104,Carpenters & Joiners,9,3.700287,243.2244,111.2184,461.7156,4.093247,219.8744,100.5412,417.39
24807,140,Oesophageal disease,11,School Teachers,11,4.525437,243.0705,121.3408,434.9193,4.636417,237.2522,118.4363,424.5088
7373,41,Cancer of the penis,144,"Plumbers, Heating & Ventilating Engineers & Related Trades",6,2.471713,242.7467,89.08398,528.3584,2.233948,268.5827,98.56539,584.5927
24712,139,Fibrosing alveolitis,102,Carpet fitters,6,2.47473,242.4507,88.97536,527.7141,2.574548,233.0507,85.52571,507.2542
21123,119,Other bacterial pneumonia,137,"Electricians, Electrical Maintenance Fitters",6,2.481252,241.8134,88.74151,526.3271,2.303645,260.4568,95.58329,566.9058
1824,11,Cancer of the pharynx (specified),15,Doctors,6,2.484267,241.5199,88.63379,525.6882,2.672725,224.49,82.38409,488.6212
9930,56,Acute lymphatic leukaemia,174,Other Construction Workers,7,2.904532,241.0027,96.89685,496.5585,3.355589,208.6072,83.87202,429.8113
4517,25,Cancer of the pleura,191,Dockers and Goods Porters,23,9.563633,240.4944,152.4525,360.8597,11.57598,198.6873,125.9505,298.1286
1506,9,Cancer of the oral cavity,59,Cooks and Kitchen Porters,15,6.238096,240.458,134.5827,396.5986,6.163344,243.3744,136.215,401.4087
4117,23,Cancer of the larynx,146,"Metal Plate Workers, Shipwrights, Riveters",20,8.323423,240.2858,146.7726,371.1021,8.178164,244.5537,149.3795,377.6936
4132,23,Cancer of the larynx,168,Roofers and Glaziers,11,4.57847,240.2549,119.9353,429.8816,4.307589,255.3633,127.4773,456.9146
27848,156,Cirrhosis (not specified as biliary),173,"Mains & Service Pipe Layers, Pipe Jointers",6,2.498199,240.173,88.1395,522.7566,2.814946,213.148,78.22176,463.9344
10313,58,Acute myeloid leukaemia,196,Other Crafts,6,2.499647,240.0339,88.08843,522.4537,2.811991,213.372,78.30396,464.4219
17687,100,Aortic valve disorders,141,"Radio, TV & Video Engineers",8,3.365952,237.6742,102.6099,468.3132,3.588557,222.9308,96.24481,439.2629
147,1,Intestinal infectious diseases,164,"Packers, Sorters and Testers",6,2.52694,237.4414,87.13702,516.8109,2.473168,242.6039,89.03157,528.0475
338,2,Tuberculosis,175,"Face Trained Coalmining Workers, Shotfireres & Deputies",6,2.529473,237.2036,87.04977,516.2934,2.816155,213.0565,78.18818,463.7352
40240,225,Other accidents,59,Cooks and Kitchen Porters,8,3.372862,237.1873,102.3997,467.3538,3.703952,215.9855,93.24634,425.5778
9736,55,All leukaemias,160,Painters & Decorators,6,2.5333,236.8453,86.91827,515.5134,2.551408,235.1643,86.30138,511.8547
31642,177,Rheumatoid arthritis,165,"Bricklayers, Masons",16,6.766838,236.4472,135.1503,383.9755,6.843033,233.8145,133.6454,379.7001
25398,143,Peptic ulcer,59,Cooks and Kitchen Porters,6,2.540096,236.2116,86.68571,514.1342,2.418015,248.1374,91.0623,540.0918
25036,141,Gastric ulcer,59,Cooks and Kitchen Porters,15,6.367682,235.5645,131.8439,388.5276,5.921885,253.2977,141.769,417.7757
12274,70,Amyloidosis,164,"Packers, Sorters and Testers",6,2.5474,235.5342,86.43714,512.6599,3.468811,172.9699,63.47709,376.4835
37232,208,Injured by fire,137,"Electricians, Electrical Maintenance Fitters",8,3.409634,234.6293,101.2953,462.3136,3.666255,218.2063,94.20512,429.9537
26970,152,Volvulus,2,Accountants and Financial Managers,7,2.984073,234.5787,94.31405,483.3226,2.830588,247.2984,99.42811,509.5302
3154,18,Cancer of the gall bladder,78,"Other Food, Drink & Tobacco Process Operatives nes",8,3.411693,234.4877,101.2342,462.0346,3.452794,231.6964,100.0291,456.5347
11676,67,Diabetes,98,Tailors & Dressmakers,22,9.388624,234.3261,146.8511,354.773,9.873049,222.8288,139.6458,337.3659
1617,9,Cancer of the oral cavity,187,Crane Drivers,14,5.97559,234.2865,128.0861,393.0926,5.965816,234.6703,128.2959,393.7366
2654,15,Cancer of the colon,128,Shot Blasters,9,3.843819,234.1422,107.0654,444.4747,4.368601,206.0156,94.20407,391.0817
29354,165,Hyperplasia of prostate,33,Architects and Surveyors,6,2.572317,233.2527,85.59985,507.6939,2.163985,277.2662,101.7521,603.493
13651,78,Other alcohol-related diseases,77,Brewery & vinery process operatives,7,3.00114,233.2447,93.77769,480.574,3.461437,202.2281,81.30727,416.668
15897,90,Chronic rheumatic heart disease,168,Roofers and Glaziers,7,3.008373,232.6839,93.55223,479.4186,2.965729,236.0296,94.89739,486.312
28100,158,Cholelithiasis and cholecystitis,46,Caterers,10,4.299233,232.5996,111.5408,427.76,4.331296,230.8778,110.7151,424.5934
3362,19,Cancer of the pancreas,110,Dental Technicians,7,3.035296,230.62,92.72241,475.1661,3.271943,213.9402,86.01617,440.7993
40873,228,Injury undetermined as accidental or purposef,165,"Bricklayers, Masons",13,5.641782,230.4236,122.6917,394.0315,7.231824,179.761,95.71582,307.3969
18186,103,Chronic and unspecified myocarditis,88,Other coal miners,23,9.986588,230.3089,145.9958,345.5765,8.436563,272.6229,172.8192,409.0682
17814,101,Other cardiomyopathies,77,Brewery & vinery process operatives,7,3.043871,229.9703,92.4612,473.8275,3.191373,219.3414,88.18775,451.9278
20982,118,Pneumoccal and unspecified lobar pneumonia,185,Bus Conductors and Drivers' Mates,7,3.044684,229.9089,92.43653,473.7011,2.641242,265.0268,106.5559,546.0575
35965,201,Fall from ladder or scaffolding,137,"Electricians, Electrical Maintenance Fitters",6,2.610202,229.8672,84.35744,500.3252,2.261373,265.3256,97.37006,577.5032
8215,46,Cancer of the brain,71,Weavers,8,3.482287,229.7341,99.18195,452.6681,3.903938,204.9213,88.46964,403.7769
18747,106,Aortic aneurysm,110,Dental Technicians,16,6.971889,229.493,131.1754,372.6824,6.847267,233.6699,133.5628,379.4653
3312,19,Cancer of the pancreas,55,Petrol Pump Forecourt Attendants,9,3.924198,229.3462,104.8724,435.3705,3.613179,249.0881,113.8997,472.8467
4443,25,Cancer of the pleura,105,Cabinet Makers,8,3.490066,229.222,98.96088,451.6591,2.441569,327.6581,141.4582,645.6176
13470,77,Dementia,77,Brewery & vinery process operatives,10,4.369072,228.8815,109.7579,420.9223,4.600883,217.3496,104.2278,399.7146
7782,43,Urothelial cancer,199,"Vehicle body repairers, panel beaters",15,6.565881,228.4538,127.864,376.7994,6.47886,231.5222,129.5814,381.8604
17686,100,Aortic valve disorders,140,"Cable Jointers, Lines Repairers",7,3.065398,228.3553,91.8119,470.5001,3.269287,214.1139,86.08604,441.1573
7872,44,Cancer of the kidney (except pelvis),94,Compositors,12,5.258526,228.2008,117.9152,398.6212,5.657385,212.1121,109.6019,370.5175
26734,150,Ulcerative colitis,137,"Electricians, Electrical Maintenance Fitters",6,2.632346,227.9336,83.64782,496.1164,2.632372,227.9313,83.647,496.1115
31556,177,Rheumatoid arthritis,63,Railway Station Staff,6,2.634133,227.7789,83.59106,495.7798,3.041422,197.2761,72.39705,429.3879
35680,200,Fall on stairs,24,Literary and Artistic Occupations,8,3.521018,227.207,98.09096,447.6888,4.16855,191.9132,82.85374,378.1458
4370,25,Cancer of the pleura,27,Chemical Engineers and Scientists,9,3.963013,227.0999,103.8452,431.1063,3.196077,281.5952,128.7641,534.5553
1462,9,Cancer of the oral cavity,15,Doctors,7,3.084916,226.9106,91.23101,467.5233,3.596741,194.6206,78.2486,400.9935
737,5,Septicaemia,14,Clergy,9,3.968337,226.7953,103.7059,430.528,2.750451,327.219,149.6263,621.1635
13458,77,Dementia,65,Forestry Workers,7,3.091886,226.399,91.02535,466.4694,3.291252,212.685,85.51154,438.2132
15170,86,Multiple sclerosis,164,"Packers, Sorters and Testers",14,6.192336,226.0859,123.6028,379.3334,7.882807,177.6017,97.09612,297.9852
27252,153,Diverticular disease,108,Woodworking Machine Operatives,6,2.662305,225.3686,82.70652,490.5335,2.583456,232.247,85.23079,505.505
35897,201,Fall from ladder or scaffolding,60,Other Service Personnel,9,4.001409,224.9208,102.8488,426.9696,4.542924,198.1103,90.58924,376.075
14261,81,Bacterial and unspecified meningitis,160,Painters & Decorators,8,3.570939,224.0307,96.71967,441.4302,3.667677,218.1217,94.1686,429.7871
40196,225,Other accidents,15,Doctors,6,2.681648,223.743,82.10995,486.9952,2.186984,274.3504,100.682,597.1465
961,6,Viral hepatitis,57,Sales Representatives,6,2.682447,223.6764,82.0855,486.8503,1.990307,301.4611,110.6312,656.1552
4442,25,Cancer of the pleura,104,Carpenters & Joiners,78,34.87364,223.6646,176.7977,279.1435,24.4282,319.3031,252.396,398.5046
20888,118,Pneumoccal and unspecified lobar pneumonia,74,Other Textile Processing Operatives,6,2.684025,223.5449,82.03725,486.5641,2.422853,247.6419,90.88045,539.0132
13561,77,Dementia,185,Bus Conductors and Drivers' Mates,11,4.925123,223.3447,111.4937,399.6246,5.244925,209.7265,104.6955,375.258
27776,156,Cirrhosis (not specified as biliary),84,Ceramics casters,11,4.935484,222.8758,111.2596,398.7856,5.785663,190.1251,94.91047,340.1857
13703,78,Other alcohol-related diseases,139,Telephone Fitters,15,6.732683,222.7938,124.6962,367.4642,7.795019,192.4306,107.7021,317.3847
13712,78,Other alcohol-related diseases,148,"Scaffolders, Stagers, Steeplejacks, Riggers",14,6.309109,221.9014,121.3151,372.3125,6.916639,202.4104,110.6592,339.61
27478,154,Peritonitis,164,"Packers, Sorters and Testers",12,5.411066,221.7678,114.5911,387.3839,5.401902,222.144,114.7855,388.0411
40783,228,Injury undetermined as accidental or purposef,59,Cooks and Kitchen Porters,8,3.609178,221.6572,95.69493,436.7532,3.637498,219.9314,94.94988,433.3528
32386,181,Motor vehicle traffic accidents,186,Mechanical Plant Drivers & Operatives (earth moving & civil,7,3.161109,221.4413,89.03206,456.2545,3.725831,187.8776,75.53752,387.1003
16386,93,Pulmonary embolism and phlebitis,102,Carpet fitters,15,6.775773,221.377,123.9032,365.1273,7.151394,209.7493,117.3953,345.9493
28682,161,Renal failure,85,Rubber Manufacturers,10,4.521538,221.1637,106.0568,406.7289,4.678242,213.7555,102.5043,393.1049
13667,78,Other alcohol-related diseases,98,Tailors & Dressmakers,6,2.717507,220.7906,81.02647,480.5692,3.124776,192.0137,70.46584,417.9339
35981,201,Fall from ladder or scaffolding,160,Painters & Decorators,7,3.172859,220.6212,88.70233,454.5648,2.743221,255.1745,102.5947,525.7579
28795,162,Urinary infections,17,Nurses,6,2.720583,220.541,80.93487,480.0258,2.810161,213.5109,78.35495,464.7243
40734,228,Injury undetermined as accidental or purposef,10,Teachers in Higher Education,8,3.631455,220.2973,95.10787,434.0739,3.925904,203.7747,87.97463,401.5177
1493,9,Cancer of the oral cavity,46,Caterers,14,6.35536,220.2865,120.4322,369.603,6.655246,210.3604,115.0055,352.9487
15053,86,Multiple sclerosis,31,Draughtspersons,10,4.540773,220.2268,105.6076,405.006,2.720768,367.5432,176.2517,675.9268
