Race,Sex,Age Group,Occupation,Cause of Death (ICD),PMR,Deaths,Significance level,Lower 95% CI,Upper 95% CI
,,,"[0]001-003, [8]003-004, [9]003-004",[0]C45,,,,,
B,M,65-90,TOP EXECUTIVES,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]001-003, [8]003-004, [9]003-004",[0]C45,,,,,
W,F,65-90,TOP EXECUTIVES,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]001-003, [8]003-004, [9]003-004",[0]C45,,,,,
W,M,65-90,TOP EXECUTIVES,MN MESOTHELIOMA (no codes before 1999),71,<5,,15,206
,,,"[0]001-003, [8]003-004, [9]003-004",[0]C45,,,,,
B,F,65-90,ADVERTISING & SALES MANAGERS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]036, 090, 093, 370-373, 942, [8]005-006, [9]005-006",[0]C45,,,,,
B,M,65-90,ADVERTISING & SALES MANAGERS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]036, 090, 093, 370-373, 942, [8]005-006, [9]005-006",[0]C45,,,,,
W,F,65-90,ADVERTISING & SALES MANAGERS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]036, 090, 093, 370-373, 942, [8]005-006, [9]005-006",[0]C45,,,,,
W,M,65-90,ADVERTISING & SALES MANAGERS,MN MESOTHELIOMA (no codes before 1999),32,<5,,4,117
,,,"[0]036, 090, 093, 370-373, 942, [8]005-006, [9]005-006",[0]C45,,,,,
B,F,65-90,OPERATIONS SPECIALTIES AND OTHER MANAGERS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]012-020, 033-043, 072, 110 430, 620, [8]007-019, [9]007-018, 021-022",[0]C45,,,,,
B,M,65-90,OPERATIONS SPECIALTIES AND OTHER MANAGERS,MN MESOTHELIOMA (no codes before 1999),125,<5,,3,694
,,,"[0]012-020, 033-043, 072, 110 430, 620, [8]007-019, [9]007-018, 021-022",[0]C45,,,,,
W,F,65-90,OPERATIONS SPECIALTIES AND OTHER MANAGERS,MN MESOTHELIOMA (no codes before 1999),133,13,,71,227
,,,"[0]012-020, 033-043, 072, 110 430, 620, [8]007-019, [9]007-018, 021-022",[0]C45,,,,,
W,M,65-90,OPERATIONS SPECIALTIES AND OTHER MANAGERS,MN MESOTHELIOMA (no codes before 1999),102,93,,82,125
,,,"[0]012-020, 033-043, 072, 110 430, 620, [8]007-019, [9]007-018, 021-022",[0]C45,,,,,
B,F,65-90,FUNERAL DIRECTORS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]032, [8]018, [9]019",[0]C45,,,,,
B,M,65-90,FUNERAL DIRECTORS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]032, [8]018, [9]019",[0]C45,,,,,
W,F,65-90,FUNERAL DIRECTORS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]032, [8]018, [9]019",[0]C45,,,,,
W,M,65-90,FUNERAL DIRECTORS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]032, [8]018, [9]019",[0]C45,,,,,
B,F,65-90,BUSINESS & FINANCIAL OPERATIONS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]050-095, 013, [8]008, 019, 026, 028-029, 033-034, 036-037, 065, 375-376, [9]005, 008, 021, 023-029, 033-034, 036-037, 065, 254, 274, 375-376",[0]C45,,,,,
B,M,65-90,BUSINESS & FINANCIAL OPERATIONS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]050-095, 013, [8]008, 019, 026, 028-029, 033-034, 036-037, 065, 375-376, [9]005, 008, 021, 023-029, 033-034, 036-037, 065, 254, 274, 375-376",[0]C45,,,,,
W,F,65-90,BUSINESS & FINANCIAL OPERATIONS,MN MESOTHELIOMA (no codes before 1999),144,18,,85,228
,,,"[0]050-095, 013, [8]008, 019, 026, 028-029, 033-034, 036-037, 065, 375-376, [9]005, 008, 021, 023-029, 033-034, 036-037, 065, 254, 274, 375-376",[0]C45,,,,,
W,M,65-90,BUSINESS & FINANCIAL OPERATIONS,MN MESOTHELIOMA (no codes before 1999),59,29,p<0.01,40,85
,,,"[0]050-095, 013, [8]008, 019, 026, 028-029, 033-034, 036-037, 065, 375-376, [9]005, 008, 021, 023-029, 033-034, 036-037, 065, 254, 274, 375-376",[0]C45,,,,,
B,F,65-90,FINANCIAL SPECIALISTS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]080-095, [8]023-037, [9]023-037",[0]C45,,,,,
B,M,65-90,FINANCIAL SPECIALISTS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]080-095, [8]023-037, [9]023-037",[0]C45,,,,,
W,F,65-90,FINANCIAL SPECIALISTS,MN MESOTHELIOMA (no codes before 1999),160,7,,64,329
,,,"[0]080-095, [8]023-037, [9]023-037",[0]C45,,,,,
W,M,65-90,FINANCIAL SPECIALISTS,MN MESOTHELIOMA (no codes before 1999),51,12,p<0.05,26,88
,,,"[0]080-095, [8]023-037, [9]023-037",[0]C45,,,,,
B,F,65-90,BUSINESS OPERATAIONS SPECIALIST,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]050-056, [8]028-033, [9]028-033",[0]C45,,,,,
B,M,65-90,BUSINESS OPERATAIONS SPECIALIST,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]050-056, [8]028-033, [9]028-033",[0]C45,,,,,
W,F,65-90,BUSINESS OPERATAIONS SPECIALIST,MN MESOTHELIOMA (no codes before 1999),166,<5,,4,926
,,,"[0]050-056, [8]028-033, [9]028-033",[0]C45,,,,,
W,M,65-90,BUSINESS OPERATAIONS SPECIALIST,MN MESOTHELIOMA (no codes before 1999),21,<5,,1,115
,,,"[0]050-056, [8]028-033, [9]028-033",[0]C45,,,,,
B,F,65-90,PROFESSIONAL AND SPECIALTY OCCUPATIONS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]120-326, [8]043-199, [9]043-199",[0]C45,,,,,
B,M,65-90,PROFESSIONAL AND SPECIALTY OCCUPATIONS,MN MESOTHELIOMA (no codes before 1999),66,<5,,2,370
,,,"[0]120-326, [8]043-199, [9]043-199",[0]C45,,,,,
W,F,65-90,PROFESSIONAL AND SPECIALTY OCCUPATIONS,MN MESOTHELIOMA (no codes before 1999),96,23,,61,143
,,,"[0]120-326, [8]043-199, [9]043-199",[0]C45,,,,,
W,M,65-90,PROFESSIONAL AND SPECIALTY OCCUPATIONS,MN MESOTHELIOMA (no codes before 1999),115,128,,96,137
,,,"[0]120-326, [8]043-199, [9]043-199",[0]C45,,,,,
B,F,65-90,ARCHITECTS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]130, [8]043, [9]043",[0]C45,,,,,
B,M,65-90,ARCHITECTS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]130, [8]043, [9]043",[0]C45,,,,,
W,F,65-90,ARCHITECTS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]130, [8]043, [9]043",[0]C45,,,,,
W,M,65-90,ARCHITECTS,MN MESOTHELIOMA (no codes before 1999),275,<5,,75,705
,,,"[0]130, [8]043, [9]043",[0]C45,,,,,
B,F,65-90,MATHEMATICAL SCIENCE OCCUPATIONS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,[0]120-124,[0]C45,,,,,
B,M,65-90,MATHEMATICAL SCIENCE OCCUPATIONS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,[0]120-124,[0]C45,,,,,
W,F,65-90,MATHEMATICAL SCIENCE OCCUPATIONS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,[0]120-124,[0]C45,,,,,
W,M,65-90,MATHEMATICAL SCIENCE OCCUPATIONS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,[0]120-124,[0]C45,,,,,
B,F,65-90,ENGINEERS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]132-153, [8]044-062, [9]044-064",[0]C45,,,,,
B,M,65-90,ENGINEERS,MN MESOTHELIOMA (no codes before 1999),463,<5,,12,2577
,,,"[0]132-153, [8]044-062, [9]044-064",[0]C45,,,,,
W,F,65-90,ENGINEERS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]132-153, [8]044-062, [9]044-064",[0]C45,,,,,
W,M,65-90,ENGINEERS,MN MESOTHELIOMA (no codes before 1999),172,64,p<0.01,132,220
,,,"[0]132-153, [8]044-062, [9]044-064",[0]C45,,,,,
B,F,65-90,AEROSPACE ENGINEERS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]132, [8]044, [9]044",[0]C45,,,,,
B,M,65-90,AEROSPACE ENGINEERS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]132, [8]044, [9]044",[0]C45,,,,,
W,F,65-90,AEROSPACE ENGINEERS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]132, [8]044, [9]044",[0]C45,,,,,
W,M,65-90,AEROSPACE ENGINEERS,MN MESOTHELIOMA (no codes before 1999),35,<5,,1,197
,,,"[0]132, [8]044, [9]044",[0]C45,,,,,
B,F,65-90,MATERIALS ENGINEERS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]145, [8]045, [9]045",[0]C45,,,,,
B,M,65-90,MATERIALS ENGINEERS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]145, [8]045, [9]045",[0]C45,,,,,
W,F,65-90,MATERIALS ENGINEERS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]145, [8]045, [9]045",[0]C45,,,,,
W,M,65-90,MATERIALS ENGINEERS,MN MESOTHELIOMA (no codes before 1999),199,<5,,24,719
,,,"[0]145, [8]045, [9]045",[0]C45,,,,,
B,F,65-90,"MINING, GEOLOGICAL, NUCLEAR ENGINEERS",MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]150, [8]046, [9]046",[0]C45,,,,,
B,M,65-90,"MINING, GEOLOGICAL, NUCLEAR ENGINEERS",MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]150, [8]046, [9]046",[0]C45,,,,,
W,F,65-90,"MINING, GEOLOGICAL, NUCLEAR ENGINEERS",MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]150, [8]046, [9]046",[0]C45,,,,,
W,M,65-90,"MINING, GEOLOGICAL, NUCLEAR ENGINEERS",MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]150, [8]046, [9]046",[0]C45,,,,,
B,F,65-90,PETROLEUM ENGINEERS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]152, [8]047, [9]047",[0]C45,,,,,
B,M,65-90,PETROLEUM ENGINEERS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]152, [8]047, [9]047",[0]C45,,,,,
W,F,65-90,PETROLEUM ENGINEERS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]152, [8]047, [9]047",[0]C45,,,,,
W,M,65-90,PETROLEUM ENGINEERS,MN MESOTHELIOMA (no codes before 1999),273,<5,,33,986
,,,"[0]152, [8]047, [9]047",[0]C45,,,,,
B,F,65-90,CHEMICAL ENGINEERS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]135, [8]048, [9]048",[0]C45,,,,,
B,M,65-90,CHEMICAL ENGINEERS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]135, [8]048, [9]048",[0]C45,,,,,
W,F,65-90,CHEMICAL ENGINEERS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]135, [8]048, [9]048",[0]C45,,,,,
W,M,65-90,CHEMICAL ENGINEERS,MN MESOTHELIOMA (no codes before 1999),446,11,p<0.01,223,799
,,,"[0]135, [8]048, [9]048",[0]C45,,,,,
B,F,65-90,NUCLEAR ENGINEERS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]151, [8]049, [9]049",[0]C45,,,,,
B,M,65-90,NUCLEAR ENGINEERS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]151, [8]049, [9]049",[0]C45,,,,,
W,F,65-90,NUCLEAR ENGINEERS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]151, [8]049, [9]049",[0]C45,,,,,
W,M,65-90,NUCLEAR ENGINEERS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]151, [8]049, [9]049",[0]C45,,,,,
B,F,65-90,CIVIL ENGINEERS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]136, [8]053, [9]053",[0]C45,,,,,
B,M,65-90,CIVIL ENGINEERS,MN MESOTHELIOMA (no codes before 1999),1924,<5,,48,10721
,,,"[0]136, [8]053, [9]053",[0]C45,,,,,
W,F,65-90,CIVIL ENGINEERS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]136, [8]053, [9]053",[0]C45,,,,,
W,M,65-90,CIVIL ENGINEERS,MN MESOTHELIOMA (no codes before 1999),121,7,,49,249
,,,"[0]136, [8]053, [9]053",[0]C45,,,,,
B,F,65-90,AGRICULTURAL ENGINEERS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]133, [8]054, [9]054",[0]C45,,,,,
B,M,65-90,AGRICULTURAL ENGINEERS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]133, [8]054, [9]054",[0]C45,,,,,
W,F,65-90,AGRICULTURAL ENGINEERS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]133, [8]054, [9]054",[0]C45,,,,,
W,M,65-90,AGRICULTURAL ENGINEERS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]133, [8]054, [9]054",[0]C45,,,,,
B,F,65-90,COMPUTER HARDWARE ENGINEERS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,[0]140,[0]C45,,,,,
B,M,65-90,COMPUTER HARDWARE ENGINEERS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,[0]140,[0]C45,,,,,
W,F,65-90,COMPUTER HARDWARE ENGINEERS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,[0]140,[0]C45,,,,,
W,M,65-90,COMPUTER HARDWARE ENGINEERS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,[0]140,[0]C45,,,,,
B,F,65-90,ELECTRICAL & ELECTRONIC ENGINEERS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]141, [8]055, [9]055",[0]C45,,,,,
B,M,65-90,ELECTRICAL & ELECTRONIC ENGINEERS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]141, [8]055, [9]055",[0]C45,,,,,
W,F,65-90,ELECTRICAL & ELECTRONIC ENGINEERS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]141, [8]055, [9]055",[0]C45,,,,,
W,M,65-90,ELECTRICAL & ELECTRONIC ENGINEERS,MN MESOTHELIOMA (no codes before 1999),137,11,,68,244
,,,"[0]141, [8]055, [9]055",[0]C45,,,,,
B,F,65-90,"INDUSTRIAL, HEALTH & SAFETY ENGINEERS",MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]143, [8]056, [9]056",[0]C45,,,,,
B,M,65-90,"INDUSTRIAL, HEALTH & SAFETY ENGINEERS",MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]143, [8]056, [9]056",[0]C45,,,,,
W,F,65-90,"INDUSTRIAL, HEALTH & SAFETY ENGINEERS",MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]143, [8]056, [9]056",[0]C45,,,,,
W,M,65-90,"INDUSTRIAL, HEALTH & SAFETY ENGINEERS",MN MESOTHELIOMA (no codes before 1999),89,<5,,18,260
,,,"[0]143, [8]056, [9]056",[0]C45,,,,,
B,F,65-90,MECHANICAL ENGINEERS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]146, [8]057, [9]057",[0]C45,,,,,
B,M,65-90,MECHANICAL ENGINEERS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]146, [8]057, [9]057",[0]C45,,,,,
W,F,65-90,MECHANICAL ENGINEERS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]146, [8]057, [9]057",[0]C45,,,,,
W,M,65-90,MECHANICAL ENGINEERS,MN MESOTHELIOMA (no codes before 1999),183,11,,92,328
,,,"[0]146, [8]057, [9]057",[0]C45,,,,,
B,F,65-90,MARINE ENGINEERS & NAVAL ARCHITECTS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]144, [8]058, [9]058",[0]C45,,,,,
B,M,65-90,MARINE ENGINEERS & NAVAL ARCHITECTS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]144, [8]058, [9]058",[0]C45,,,,,
W,F,65-90,MARINE ENGINEERS & NAVAL ARCHITECTS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]144, [8]058, [9]058",[0]C45,,,,,
W,M,65-90,MARINE ENGINEERS & NAVAL ARCHITECTS,MN MESOTHELIOMA (no codes before 1999),1317,<5,p<0.01,359,3373
,,,"[0]144, [8]058, [9]058",[0]C45,,,,,
B,F,65-90,"BIOMEDICAL, ENVIRONMENTAL ENGINEERS",MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]134, 142",[0]C45,,,,,
B,M,65-90,"BIOMEDICAL, ENVIRONMENTAL ENGINEERS",MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]134, 142",[0]C45,,,,,
W,F,65-90,"BIOMEDICAL, ENVIRONMENTAL ENGINEERS",MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]134, 142",[0]C45,,,,,
W,M,65-90,"BIOMEDICAL, ENVIRONMENTAL ENGINEERS",MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]134, 142",[0]C45,,,,,
B,F,65-90,"ENGINEERS, NEC",MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]153, [8]059, [9]059",[0]C45,,,,,
B,M,65-90,"ENGINEERS, NEC",MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]153, [8]059, [9]059",[0]C45,,,,,
W,F,65-90,"ENGINEERS, NEC",MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]153, [8]059, [9]059",[0]C45,,,,,
W,M,65-90,"ENGINEERS, NEC",MN MESOTHELIOMA (no codes before 1999),235,11,p<0.05,117,420
,,,"[0]153, [8]059, [9]059",[0]C45,,,,,
B,F,65-90,SURVEYORS & MAPPING SCIENTISTS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]131, [8]063, [9]063",[0]C45,,,,,
B,M,65-90,SURVEYORS & MAPPING SCIENTISTS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]131, [8]063, [9]063",[0]C45,,,,,
W,F,65-90,SURVEYORS & MAPPING SCIENTISTS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]131, [8]063, [9]063",[0]C45,,,,,
W,M,65-90,SURVEYORS & MAPPING SCIENTISTS,MN MESOTHELIOMA (no codes before 1999),244,<5,,6,1358
,,,"[0]131, [8]063, [9]063",[0]C45,,,,,
B,F,65-90,MATHEMATICAL & COMPUTER RELATED OCCUPATIONS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]100-124, 070-071, 073, [8]064-068, [9]064-068",[0]C45,,,,,
B,M,65-90,MATHEMATICAL & COMPUTER RELATED OCCUPATIONS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]100-124, 070-071, 073, [8]064-068, [9]064-068",[0]C45,,,,,
W,F,65-90,MATHEMATICAL & COMPUTER RELATED OCCUPATIONS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]100-124, 070-071, 073, [8]064-068, [9]064-068",[0]C45,,,,,
W,M,65-90,MATHEMATICAL & COMPUTER RELATED OCCUPATIONS,MN MESOTHELIOMA (no codes before 1999),26,<5,,1,143
,,,"[0]100-124, 070-071, 073, [8]064-068, [9]064-068",[0]C45,,,,,
B,F,65-90,COMPUTER RELATED OCCUPATIONS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]100-111, [8]064-065, [9]064-065",[0]C45,,,,,
B,M,65-90,COMPUTER RELATED OCCUPATIONS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]100-111, [8]064-065, [9]064-065",[0]C45,,,,,
W,F,65-90,COMPUTER RELATED OCCUPATIONS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]100-111, [8]064-065, [9]064-065",[0]C45,,,,,
W,M,65-90,COMPUTER RELATED OCCUPATIONS,MN MESOTHELIOMA (no codes before 1999),34,<5,,1,188
,,,"[0]100-111, [8]064-065, [9]064-065",[0]C45,,,,,
B,F,65-90,"ANALYSTS, ACTUARIES, STATISTICIANS & MATHEMATICIANS",MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]070-071, 073, 120-124, [8]066-068, [9]065-068",[0]C45,,,,,
B,M,65-90,"ANALYSTS, ACTUARIES, STATISTICIANS & MATHEMATICIANS",MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]070-071, 073, 120-124, [8]066-068, [9]065-068",[0]C45,,,,,
W,F,65-90,"ANALYSTS, ACTUARIES, STATISTICIANS & MATHEMATICIANS",MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]070-071, 073, 120-124, [8]066-068, [9]065-068",[0]C45,,,,,
W,M,65-90,"ANALYSTS, ACTUARIES, STATISTICIANS & MATHEMATICIANS",MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]070-071, 073, 120-124, [8]066-068, [9]065-068",[0]C45,,,,,
B,F,65-90,ENGINEERS AND SCIENTISTS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]160-176, 132-153, [8]044-079, [9]044-079",[0]C45,,,,,
B,M,65-90,ENGINEERS AND SCIENTISTS,MN MESOTHELIOMA (no codes before 1999),379,<5,,9,2113
,,,"[0]160-176, 132-153, [8]044-079, [9]044-079",[0]C45,,,,,
W,F,65-90,ENGINEERS AND SCIENTISTS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]160-176, 132-153, [8]044-079, [9]044-079",[0]C45,,,,,
W,M,65-90,ENGINEERS AND SCIENTISTS,MN MESOTHELIOMA (no codes before 1999),150,67,p<0.01,117,191
,,,"[0]160-176, 132-153, [8]044-079, [9]044-079",[0]C45,,,,,
B,F,65-90,LIFE AND PHYSICAL SCIENTISTS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]160-176, [8]069-083, [9]069-083",[0]C45,,,,,
B,M,65-90,LIFE AND PHYSICAL SCIENTISTS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]160-176, [8]069-083, [9]069-083",[0]C45,,,,,
W,F,65-90,LIFE AND PHYSICAL SCIENTISTS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]160-176, [8]069-083, [9]069-083",[0]C45,,,,,
W,M,65-90,LIFE AND PHYSICAL SCIENTISTS,MN MESOTHELIOMA (no codes before 1999),49,<5,,10,144
,,,"[0]160-176, [8]069-083, [9]069-083",[0]C45,,,,,
B,F,65-90,PHYSICISTS & ASTRONOMERS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]170, [8]069, [9]069",[0]C45,,,,,
B,M,65-90,PHYSICISTS & ASTRONOMERS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]170, [8]069, [9]069",[0]C45,,,,,
W,F,65-90,PHYSICISTS & ASTRONOMERS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]170, [8]069, [9]069",[0]C45,,,,,
W,M,65-90,PHYSICISTS & ASTRONOMERS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]170, [8]069, [9]069",[0]C45,,,,,
B,F,65-90,CHEMISTS & MATERIALS SCIENTISTS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]172, [8]073, [9]073",[0]C45,,,,,
B,M,65-90,CHEMISTS & MATERIALS SCIENTISTS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]172, [8]073, [9]073",[0]C45,,,,,
W,F,65-90,CHEMISTS & MATERIALS SCIENTISTS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]172, [8]073, [9]073",[0]C45,,,,,
W,M,65-90,CHEMISTS & MATERIALS SCIENTISTS,MN MESOTHELIOMA (no codes before 1999),78,<5,,9,282
,,,"[0]172, [8]073, [9]073",[0]C45,,,,,
B,F,65-90,ATMOSPHERIC & SPACE SCIENTISTS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]171, [8]074, [9]074",[0]C45,,,,,
B,M,65-90,ATMOSPHERIC & SPACE SCIENTISTS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]171, [8]074, [9]074",[0]C45,,,,,
W,F,65-90,ATMOSPHERIC & SPACE SCIENTISTS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
