Race,Sex,Age Group,Occupation,Cause of Death (ICD),PMR,Deaths,Significance level,Lower 95% CI,Upper 95% CI
B,F,65-90,OPERATIONS SPECIALTIES AND OTHER MANAGERS,ASBESTOSIS,0,<5,,,
,,,"[0]012-020, 033-043, 072, 110 430, 620, [8]007-019, [9]007-018, 021-022","[0]J61, [9]501",,,,,
B,M,65-90,OPERATIONS SPECIALTIES AND OTHER MANAGERS,ASBESTOSIS,0,<5,,,
,,,"[0]012-020, 033-043, 072, 110 430, 620, [8]007-019, [9]007-018, 021-022","[0]J61, [9]501",,,,,
W,F,65-90,OPERATIONS SPECIALTIES AND OTHER MANAGERS,ASBESTOSIS,771,<5,p<0.05,159,2253
,,,"[0]012-020, 033-043, 072, 110 430, 620, [8]007-019, [9]007-018, 021-022","[0]J61, [9]501",,,,,
W,M,65-90,OPERATIONS SPECIALTIES AND OTHER MANAGERS,ASBESTOSIS,67,19,,40,104
,,,"[0]012-020, 033-043, 072, 110 430, 620, [8]007-019, [9]007-018, 021-022","[0]J61, [9]501",,,,,
B,F,65-90,FUNERAL DIRECTORS,ASBESTOSIS,0,<5,,,
,,,"[0]032, [8]018, [9]019","[0]J61, [9]501",,,,,
B,M,65-90,FUNERAL DIRECTORS,ASBESTOSIS,0,<5,,,
,,,"[0]032, [8]018, [9]019","[0]J61, [9]501",,,,,
W,F,65-90,FUNERAL DIRECTORS,ASBESTOSIS,0,<5,,,
,,,"[0]032, [8]018, [9]019","[0]J61, [9]501",,,,,
W,M,65-90,FUNERAL DIRECTORS,ASBESTOSIS,0,<5,,,
,,,"[0]032, [8]018, [9]019","[0]J61, [9]501",,,,,
B,F,65-90,BUSINESS & FINANCIAL OPERATIONS,ASBESTOSIS,0,<5,,,
,,,"[0]050-095, 013, [8]008, 019, 026, 028-029, 033-034, 036-037, 065, 375-376, [9]005, 008, 021, 023-029, 033-034, 036-037, 065, 254, 274, 375-376","[0]J61, [9]501",,,,,
B,M,65-90,BUSINESS & FINANCIAL OPERATIONS,ASBESTOSIS,0,<5,,,
,,,"[0]050-095, 013, [8]008, 019, 026, 028-029, 033-034, 036-037, 065, 375-376, [9]005, 008, 021, 023-029, 033-034, 036-037, 065, 254, 274, 375-376","[0]J61, [9]501",,,,,
W,F,65-90,BUSINESS & FINANCIAL OPERATIONS,ASBESTOSIS,0,<5,,,
,,,"[0]050-095, 013, [8]008, 019, 026, 028-029, 033-034, 036-037, 065, 375-376, [9]005, 008, 021, 023-029, 033-034, 036-037, 065, 254, 274, 375-376","[0]J61, [9]501",,,,,
W,M,65-90,BUSINESS & FINANCIAL OPERATIONS,ASBESTOSIS,39,6,p<0.05,14,85
,,,"[0]050-095, 013, [8]008, 019, 026, 028-029, 033-034, 036-037, 065, 375-376, [9]005, 008, 021, 023-029, 033-034, 036-037, 065, 254, 274, 375-376","[0]J61, [9]501",,,,,
B,F,65-90,FINANCIAL SPECIALISTS,ASBESTOSIS,0,<5,,,
,,,"[0]080-095, [8]023-037, [9]023-037","[0]J61, [9]501",,,,,
B,M,65-90,FINANCIAL SPECIALISTS,ASBESTOSIS,0,<5,,,
,,,"[0]080-095, [8]023-037, [9]023-037","[0]J61, [9]501",,,,,
W,F,65-90,FINANCIAL SPECIALISTS,ASBESTOSIS,0,<5,,,
,,,"[0]080-095, [8]023-037, [9]023-037","[0]J61, [9]501",,,,,
W,M,65-90,FINANCIAL SPECIALISTS,ASBESTOSIS,66,5,,22,155
,,,"[0]080-095, [8]023-037, [9]023-037","[0]J61, [9]501",,,,,
B,F,65-90,BUSINESS OPERATAIONS SPECIALIST,ASBESTOSIS,0,<5,,,
,,,"[0]050-056, [8]028-033, [9]028-033","[0]J61, [9]501",,,,,
B,M,65-90,BUSINESS OPERATAIONS SPECIALIST,ASBESTOSIS,0,<5,,,
,,,"[0]050-056, [8]028-033, [9]028-033","[0]J61, [9]501",,,,,
W,F,65-90,BUSINESS OPERATAIONS SPECIALIST,ASBESTOSIS,0,<5,,,
,,,"[0]050-056, [8]028-033, [9]028-033","[0]J61, [9]501",,,,,
W,M,65-90,BUSINESS OPERATAIONS SPECIALIST,ASBESTOSIS,192,<5,,40,562
,,,"[0]050-056, [8]028-033, [9]028-033","[0]J61, [9]501",,,,,
B,F,65-90,PROFESSIONAL AND SPECIALTY OCCUPATIONS,ASBESTOSIS,0,<5,,,
,,,"[0]120-326, [8]043-199, [9]043-199","[0]J61, [9]501",,,,,
B,M,65-90,PROFESSIONAL AND SPECIALTY OCCUPATIONS,ASBESTOSIS,0,<5,,,
,,,"[0]120-326, [8]043-199, [9]043-199","[0]J61, [9]501",,,,,
W,F,65-90,PROFESSIONAL AND SPECIALTY OCCUPATIONS,ASBESTOSIS,0,<5,,,
,,,"[0]120-326, [8]043-199, [9]043-199","[0]J61, [9]501",,,,,
W,M,65-90,PROFESSIONAL AND SPECIALTY OCCUPATIONS,ASBESTOSIS,60,21,p<0.05,37,92
,,,"[0]120-326, [8]043-199, [9]043-199","[0]J61, [9]501",,,,,
B,F,65-90,ARCHITECTS,ASBESTOSIS,0,<5,,,
,,,"[0]130, [8]043, [9]043","[0]J61, [9]501",,,,,
B,M,65-90,ARCHITECTS,ASBESTOSIS,0,<5,,,
,,,"[0]130, [8]043, [9]043","[0]J61, [9]501",,,,,
W,F,65-90,ARCHITECTS,ASBESTOSIS,0,<5,,,
,,,"[0]130, [8]043, [9]043","[0]J61, [9]501",,,,,
W,M,65-90,ARCHITECTS,ASBESTOSIS,0,<5,,,
,,,"[0]130, [8]043, [9]043","[0]J61, [9]501",,,,,
B,F,65-90,MATHEMATICAL SCIENCE OCCUPATIONS,ASBESTOSIS,0,<5,,,
,,,[0]120-124,"[0]J61, [9]501",,,,,
B,M,65-90,MATHEMATICAL SCIENCE OCCUPATIONS,ASBESTOSIS,0,<5,,,
,,,[0]120-124,"[0]J61, [9]501",,,,,
W,F,65-90,MATHEMATICAL SCIENCE OCCUPATIONS,ASBESTOSIS,0,<5,,,
,,,[0]120-124,"[0]J61, [9]501",,,,,
W,M,65-90,MATHEMATICAL SCIENCE OCCUPATIONS,ASBESTOSIS,0,<5,,,
,,,[0]120-124,"[0]J61, [9]501",,,,,
B,F,65-90,ENGINEERS,ASBESTOSIS,0,<5,,,
,,,"[0]132-153, [8]044-062, [9]044-064","[0]J61, [9]501",,,,,
B,M,65-90,ENGINEERS,ASBESTOSIS,0,<5,,,
,,,"[0]132-153, [8]044-062, [9]044-064","[0]J61, [9]501",,,,,
W,F,65-90,ENGINEERS,ASBESTOSIS,0,<5,,,
,,,"[0]132-153, [8]044-062, [9]044-064","[0]J61, [9]501",,,,,
W,M,65-90,ENGINEERS,ASBESTOSIS,110,13,,59,189
,,,"[0]132-153, [8]044-062, [9]044-064","[0]J61, [9]501",,,,,
B,F,65-90,AEROSPACE ENGINEERS,ASBESTOSIS,0,<5,,,
,,,"[0]132, [8]044, [9]044","[0]J61, [9]501",,,,,
B,M,65-90,AEROSPACE ENGINEERS,ASBESTOSIS,0,<5,,,
,,,"[0]132, [8]044, [9]044","[0]J61, [9]501",,,,,
W,F,65-90,AEROSPACE ENGINEERS,ASBESTOSIS,0,<5,,,
,,,"[0]132, [8]044, [9]044","[0]J61, [9]501",,,,,
W,M,65-90,AEROSPACE ENGINEERS,ASBESTOSIS,0,<5,,,
,,,"[0]132, [8]044, [9]044","[0]J61, [9]501",,,,,
B,F,65-90,MATERIALS ENGINEERS,ASBESTOSIS,0,<5,,,
,,,"[0]145, [8]045, [9]045","[0]J61, [9]501",,,,,
B,M,65-90,MATERIALS ENGINEERS,ASBESTOSIS,0,<5,,,
,,,"[0]145, [8]045, [9]045","[0]J61, [9]501",,,,,
W,F,65-90,MATERIALS ENGINEERS,ASBESTOSIS,0,<5,,,
,,,"[0]145, [8]045, [9]045","[0]J61, [9]501",,,,,
W,M,65-90,MATERIALS ENGINEERS,ASBESTOSIS,0,<5,,,
,,,"[0]145, [8]045, [9]045","[0]J61, [9]501",,,,,
B,F,65-90,"MINING, GEOLOGICAL, NUCLEAR ENGINEERS",ASBESTOSIS,0,<5,,,
,,,"[0]150, [8]046, [9]046","[0]J61, [9]501",,,,,
B,M,65-90,"MINING, GEOLOGICAL, NUCLEAR ENGINEERS",ASBESTOSIS,0,<5,,,
,,,"[0]150, [8]046, [9]046","[0]J61, [9]501",,,,,
W,F,65-90,"MINING, GEOLOGICAL, NUCLEAR ENGINEERS",ASBESTOSIS,0,<5,,,
,,,"[0]150, [8]046, [9]046","[0]J61, [9]501",,,,,
W,M,65-90,"MINING, GEOLOGICAL, NUCLEAR ENGINEERS",ASBESTOSIS,0,<5,,,
,,,"[0]150, [8]046, [9]046","[0]J61, [9]501",,,,,
B,F,65-90,PETROLEUM ENGINEERS,ASBESTOSIS,0,<5,,,
,,,"[0]152, [8]047, [9]047","[0]J61, [9]501",,,,,
B,M,65-90,PETROLEUM ENGINEERS,ASBESTOSIS,0,<5,,,
,,,"[0]152, [8]047, [9]047","[0]J61, [9]501",,,,,
W,F,65-90,PETROLEUM ENGINEERS,ASBESTOSIS,0,<5,,,
,,,"[0]152, [8]047, [9]047","[0]J61, [9]501",,,,,
W,M,65-90,PETROLEUM ENGINEERS,ASBESTOSIS,0,<5,,,
,,,"[0]152, [8]047, [9]047","[0]J61, [9]501",,,,,
B,F,65-90,CHEMICAL ENGINEERS,ASBESTOSIS,0,<5,,,
,,,"[0]135, [8]048, [9]048","[0]J61, [9]501",,,,,
B,M,65-90,CHEMICAL ENGINEERS,ASBESTOSIS,0,<5,,,
,,,"[0]135, [8]048, [9]048","[0]J61, [9]501",,,,,
W,F,65-90,CHEMICAL ENGINEERS,ASBESTOSIS,0,<5,,,
,,,"[0]135, [8]048, [9]048","[0]J61, [9]501",,,,,
W,M,65-90,CHEMICAL ENGINEERS,ASBESTOSIS,0,<5,,,
,,,"[0]135, [8]048, [9]048","[0]J61, [9]501",,,,,
B,F,65-90,NUCLEAR ENGINEERS,ASBESTOSIS,0,<5,,,
,,,"[0]151, [8]049, [9]049","[0]J61, [9]501",,,,,
B,M,65-90,NUCLEAR ENGINEERS,ASBESTOSIS,0,<5,,,
,,,"[0]151, [8]049, [9]049","[0]J61, [9]501",,,,,
W,F,65-90,NUCLEAR ENGINEERS,ASBESTOSIS,0,<5,,,
,,,"[0]151, [8]049, [9]049","[0]J61, [9]501",,,,,
W,M,65-90,NUCLEAR ENGINEERS,ASBESTOSIS,0,<5,,,
,,,"[0]151, [8]049, [9]049","[0]J61, [9]501",,,,,
B,F,65-90,CIVIL ENGINEERS,ASBESTOSIS,0,<5,,,
,,,"[0]136, [8]053, [9]053","[0]J61, [9]501",,,,,
B,M,65-90,CIVIL ENGINEERS,ASBESTOSIS,0,<5,,,
,,,"[0]136, [8]053, [9]053","[0]J61, [9]501",,,,,
W,F,65-90,CIVIL ENGINEERS,ASBESTOSIS,0,<5,,,
,,,"[0]136, [8]053, [9]053","[0]J61, [9]501",,,,,
W,M,65-90,CIVIL ENGINEERS,ASBESTOSIS,108,<5,,13,389
,,,"[0]136, [8]053, [9]053","[0]J61, [9]501",,,,,
B,F,65-90,AGRICULTURAL ENGINEERS,ASBESTOSIS,0,<5,,,
,,,"[0]133, [8]054, [9]054","[0]J61, [9]501",,,,,
B,M,65-90,AGRICULTURAL ENGINEERS,ASBESTOSIS,0,<5,,,
,,,"[0]133, [8]054, [9]054","[0]J61, [9]501",,,,,
W,F,65-90,AGRICULTURAL ENGINEERS,ASBESTOSIS,0,<5,,,
,,,"[0]133, [8]054, [9]054","[0]J61, [9]501",,,,,
W,M,65-90,AGRICULTURAL ENGINEERS,ASBESTOSIS,0,<5,,,
,,,"[0]133, [8]054, [9]054","[0]J61, [9]501",,,,,
B,F,65-90,COMPUTER HARDWARE ENGINEERS,ASBESTOSIS,0,<5,,,
,,,[0]140,"[0]J61, [9]501",,,,,
B,M,65-90,COMPUTER HARDWARE ENGINEERS,ASBESTOSIS,0,<5,,,
,,,[0]140,"[0]J61, [9]501",,,,,
W,F,65-90,COMPUTER HARDWARE ENGINEERS,ASBESTOSIS,0,<5,,,
,,,[0]140,"[0]J61, [9]501",,,,,
W,M,65-90,COMPUTER HARDWARE ENGINEERS,ASBESTOSIS,0,<5,,,
,,,[0]140,"[0]J61, [9]501",,,,,
B,F,65-90,ELECTRICAL & ELECTRONIC ENGINEERS,ASBESTOSIS,0,<5,,,
,,,"[0]141, [8]055, [9]055","[0]J61, [9]501",,,,,
B,M,65-90,ELECTRICAL & ELECTRONIC ENGINEERS,ASBESTOSIS,0,<5,,,
,,,"[0]141, [8]055, [9]055","[0]J61, [9]501",,,,,
W,F,65-90,ELECTRICAL & ELECTRONIC ENGINEERS,ASBESTOSIS,0,<5,,,
,,,"[0]141, [8]055, [9]055","[0]J61, [9]501",,,,,
W,M,65-90,ELECTRICAL & ELECTRONIC ENGINEERS,ASBESTOSIS,80,<5,,10,290
,,,"[0]141, [8]055, [9]055","[0]J61, [9]501",,,,,
B,F,65-90,"INDUSTRIAL, HEALTH & SAFETY ENGINEERS",ASBESTOSIS,0,<5,,,
,,,"[0]143, [8]056, [9]056","[0]J61, [9]501",,,,,
B,M,65-90,"INDUSTRIAL, HEALTH & SAFETY ENGINEERS",ASBESTOSIS,0,<5,,,
,,,"[0]143, [8]056, [9]056","[0]J61, [9]501",,,,,
W,F,65-90,"INDUSTRIAL, HEALTH & SAFETY ENGINEERS",ASBESTOSIS,0,<5,,,
,,,"[0]143, [8]056, [9]056","[0]J61, [9]501",,,,,
W,M,65-90,"INDUSTRIAL, HEALTH & SAFETY ENGINEERS",ASBESTOSIS,189,<5,,23,681
,,,"[0]143, [8]056, [9]056","[0]J61, [9]501",,,,,
B,F,65-90,MECHANICAL ENGINEERS,ASBESTOSIS,0,<5,,,
,,,"[0]146, [8]057, [9]057","[0]J61, [9]501",,,,,
B,M,65-90,MECHANICAL ENGINEERS,ASBESTOSIS,0,<5,,,
,,,"[0]146, [8]057, [9]057","[0]J61, [9]501",,,,,
W,F,65-90,MECHANICAL ENGINEERS,ASBESTOSIS,0,<5,,,
,,,"[0]146, [8]057, [9]057","[0]J61, [9]501",,,,,
W,M,65-90,MECHANICAL ENGINEERS,ASBESTOSIS,207,<5,,56,531
,,,"[0]146, [8]057, [9]057","[0]J61, [9]501",,,,,
B,F,65-90,MARINE ENGINEERS & NAVAL ARCHITECTS,ASBESTOSIS,0,<5,,,
,,,"[0]144, [8]058, [9]058","[0]J61, [9]501",,,,,
B,M,65-90,MARINE ENGINEERS & NAVAL ARCHITECTS,ASBESTOSIS,0,<5,,,
,,,"[0]144, [8]058, [9]058","[0]J61, [9]501",,,,,
W,F,65-90,MARINE ENGINEERS & NAVAL ARCHITECTS,ASBESTOSIS,0,<5,,,
,,,"[0]144, [8]058, [9]058","[0]J61, [9]501",,,,,
W,M,65-90,MARINE ENGINEERS & NAVAL ARCHITECTS,ASBESTOSIS,1018,<5,,25,5671
,,,"[0]144, [8]058, [9]058","[0]J61, [9]501",,,,,
B,F,65-90,"BIOMEDICAL, ENVIRONMENTAL ENGINEERS",ASBESTOSIS,0,<5,,,
,,,"[0]134, 142","[0]J61, [9]501",,,,,
B,M,65-90,"BIOMEDICAL, ENVIRONMENTAL ENGINEERS",ASBESTOSIS,0,<5,,,
,,,"[0]134, 142","[0]J61, [9]501",,,,,
W,F,65-90,"BIOMEDICAL, ENVIRONMENTAL ENGINEERS",ASBESTOSIS,0,<5,,,
,,,"[0]134, 142","[0]J61, [9]501",,,,,
W,M,65-90,"BIOMEDICAL, ENVIRONMENTAL ENGINEERS",ASBESTOSIS,4467,<5,p<0.05,112,24889
,,,"[0]134, 142","[0]J61, [9]501",,,,,
B,F,65-90,"ENGINEERS, NEC",ASBESTOSIS,0,<5,,,
,,,"[0]153, [8]059, [9]059","[0]J61, [9]501",,,,,
B,M,65-90,"ENGINEERS, NEC",ASBESTOSIS,0,<5,,,
,,,"[0]153, [8]059, [9]059","[0]J61, [9]501",,,,,
W,F,65-90,"ENGINEERS, NEC",ASBESTOSIS,0,<5,,,
,,,"[0]153, [8]059, [9]059","[0]J61, [9]501",,,,,
W,M,65-90,"ENGINEERS, NEC",ASBESTOSIS,67,<5,,2,375
,,,"[0]153, [8]059, [9]059","[0]J61, [9]501",,,,,
B,F,65-90,SURVEYORS & MAPPING SCIENTISTS,ASBESTOSIS,0,<5,,,
,,,"[0]131, [8]063, [9]063","[0]J61, [9]501",,,,,
B,M,65-90,SURVEYORS & MAPPING SCIENTISTS,ASBESTOSIS,0,<5,,,
,,,"[0]131, [8]063, [9]063","[0]J61, [9]501",,,,,
W,F,65-90,SURVEYORS & MAPPING SCIENTISTS,ASBESTOSIS,0,<5,,,
,,,"[0]131, [8]063, [9]063","[0]J61, [9]501",,,,,
W,M,65-90,SURVEYORS & MAPPING SCIENTISTS,ASBESTOSIS,0,<5,,,
,,,"[0]131, [8]063, [9]063","[0]J61, [9]501",,,,,
B,F,65-90,MATHEMATICAL & COMPUTER RELATED OCCUPATIONS,ASBESTOSIS,0,<5,,,
,,,"[0]100-124, 070-071, 073, [8]064-068, [9]064-068","[0]J61, [9]501",,,,,
B,M,65-90,MATHEMATICAL & COMPUTER RELATED OCCUPATIONS,ASBESTOSIS,0,<5,,,
,,,"[0]100-124, 070-071, 073, [8]064-068, [9]064-068","[0]J61, [9]501",,,,,
W,F,65-90,MATHEMATICAL & COMPUTER RELATED OCCUPATIONS,ASBESTOSIS,0,<5,,,
,,,"[0]100-124, 070-071, 073, [8]064-068, [9]064-068","[0]J61, [9]501",,,,,
W,M,65-90,MATHEMATICAL & COMPUTER RELATED OCCUPATIONS,ASBESTOSIS,0,<5,,,
,,,"[0]100-124, 070-071, 073, [8]064-068, [9]064-068","[0]J61, [9]501",,,,,
B,F,65-90,COMPUTER RELATED OCCUPATIONS,ASBESTOSIS,0,<5,,,
,,,"[0]100-111, [8]064-065, [9]064-065","[0]J61, [9]501",,,,,
B,M,65-90,COMPUTER RELATED OCCUPATIONS,ASBESTOSIS,0,<5,,,
,,,"[0]100-111, [8]064-065, [9]064-065","[0]J61, [9]501",,,,,
W,F,65-90,COMPUTER RELATED OCCUPATIONS,ASBESTOSIS,0,<5,,,
,,,"[0]100-111, [8]064-065, [9]064-065","[0]J61, [9]501",,,,,
W,M,65-90,COMPUTER RELATED OCCUPATIONS,ASBESTOSIS,0,<5,,,
,,,"[0]100-111, [8]064-065, [9]064-065","[0]J61, [9]501",,,,,
B,F,65-90,"ANALYSTS, ACTUARIES, STATISTICIANS & MATHEMATICIANS",ASBESTOSIS,0,<5,,,
,,,"[0]070-071, 073, 120-124, [8]066-068, [9]065-068","[0]J61, [9]501",,,,,
B,M,65-90,"ANALYSTS, ACTUARIES, STATISTICIANS & MATHEMATICIANS",ASBESTOSIS,0,<5,,,
,,,"[0]070-071, 073, 120-124, [8]066-068, [9]065-068","[0]J61, [9]501",,,,,
W,F,65-90,"ANALYSTS, ACTUARIES, STATISTICIANS & MATHEMATICIANS",ASBESTOSIS,0,<5,,,
,,,"[0]070-071, 073, 120-124, [8]066-068, [9]065-068","[0]J61, [9]501",,,,,
W,M,65-90,"ANALYSTS, ACTUARIES, STATISTICIANS & MATHEMATICIANS",ASBESTOSIS,0,<5,,,
,,,"[0]070-071, 073, 120-124, [8]066-068, [9]065-068","[0]J61, [9]501",,,,,
B,F,65-90,ENGINEERS AND SCIENTISTS,ASBESTOSIS,0,<5,,,
,,,"[0]160-176, 132-153, [8]044-079, [9]044-079","[0]J61, [9]501",,,,,
B,M,65-90,ENGINEERS AND SCIENTISTS,ASBESTOSIS,0,<5,,,
,,,"[0]160-176, 132-153, [8]044-079, [9]044-079","[0]J61, [9]501",,,,,
W,F,65-90,ENGINEERS AND SCIENTISTS,ASBESTOSIS,0,<5,,,
,,,"[0]160-176, 132-153, [8]044-079, [9]044-079","[0]J61, [9]501",,,,,
W,M,65-90,ENGINEERS AND SCIENTISTS,ASBESTOSIS,92,13,,49,158
,,,"[0]160-176, 132-153, [8]044-079, [9]044-079","[0]J61, [9]501",,,,,
B,F,65-90,LIFE AND PHYSICAL SCIENTISTS,ASBESTOSIS,0,<5,,,
,,,"[0]160-176, [8]069-083, [9]069-083","[0]J61, [9]501",,,,,
B,M,65-90,LIFE AND PHYSICAL SCIENTISTS,ASBESTOSIS,0,<5,,,
,,,"[0]160-176, [8]069-083, [9]069-083","[0]J61, [9]501",,,,,
W,F,65-90,LIFE AND PHYSICAL SCIENTISTS,ASBESTOSIS,0,<5,,,
,,,"[0]160-176, [8]069-083, [9]069-083","[0]J61, [9]501",,,,,
W,M,65-90,LIFE AND PHYSICAL SCIENTISTS,ASBESTOSIS,0,<5,,,
,,,"[0]160-176, [8]069-083, [9]069-083","[0]J61, [9]501",,,,,
B,F,65-90,PHYSICISTS & ASTRONOMERS,ASBESTOSIS,0,<5,,,
,,,"[0]170, [8]069, [9]069","[0]J61, [9]501",,,,,
B,M,65-90,PHYSICISTS & ASTRONOMERS,ASBESTOSIS,0,<5,,,
,,,"[0]170, [8]069, [9]069","[0]J61, [9]501",,,,,
W,F,65-90,PHYSICISTS & ASTRONOMERS,ASBESTOSIS,0,<5,,,
,,,"[0]170, [8]069, [9]069","[0]J61, [9]501",,,,,
W,M,65-90,PHYSICISTS & ASTRONOMERS,ASBESTOSIS,0,<5,,,
,,,"[0]170, [8]069, [9]069","[0]J61, [9]501",,,,,
B,F,65-90,CHEMISTS & MATERIALS SCIENTISTS,ASBESTOSIS,0,<5,,,
,,,"[0]172, [8]073, [9]073","[0]J61, [9]501",,,,,
B,M,65-90,CHEMISTS & MATERIALS SCIENTISTS,ASBESTOSIS,0,<5,,,
,,,"[0]172, [8]073, [9]073","[0]J61, [9]501",,,,,
W,F,65-90,CHEMISTS & MATERIALS SCIENTISTS,ASBESTOSIS,0,<5,,,
,,,"[0]172, [8]073, [9]073","[0]J61, [9]501",,,,,
W,M,65-90,CHEMISTS & MATERIALS SCIENTISTS,ASBESTOSIS,0,<5,,,
,,,"[0]172, [8]073, [9]073","[0]J61, [9]501",,,,,
B,F,65-90,ATMOSPHERIC & SPACE SCIENTISTS,ASBESTOSIS,0,<5,,,
,,,"[0]171, [8]074, [9]074","[0]J61, [9]501",,,,,
B,M,65-90,ATMOSPHERIC & SPACE SCIENTISTS,ASBESTOSIS,0,<5,,,
,,,"[0]171, [8]074, [9]074","[0]J61, [9]501",,,,,
W,F,65-90,ATMOSPHERIC & SPACE SCIENTISTS,ASBESTOSIS,0,<5,,,
,,,"[0]171, [8]074, [9]074","[0]J61, [9]501",,,,,
W,M,65-90,ATMOSPHERIC & SPACE SCIENTISTS,ASBESTOSIS,0,<5,,,
,,,"[0]171, [8]074, [9]074","[0]J61, [9]501",,,,,
B,F,65-90,ENVIRONMENTAL & GEOSCIENTISTS,ASBESTOSIS,0,<5,,,
,,,"[0]164, 174, 176, [8]075, 076, [9]075, 076","[0]J61, [9]501",,,,,
B,M,65-90,ENVIRONMENTAL & GEOSCIENTISTS,ASBESTOSIS,0,<5,,,
,,,"[0]164, 174, 176, [8]075, 076, [9]075, 076","[0]J61, [9]501",,,,,
W,F,65-90,ENVIRONMENTAL & GEOSCIENTISTS,ASBESTOSIS,0,<5,,,
,,,"[0]164, 174, 176, [8]075, 076, [9]075, 076","[0]J61, [9]501",,,,,
W,M,65-90,ENVIRONMENTAL & GEOSCIENTISTS,ASBESTOSIS,0,<5,,,
,,,"[0]164, 174, 176, [8]075, 076, [9]075, 076","[0]J61, [9]501",,,,,
B,F,65-90,AGRICULTURAL & FOOD SCIENTISTS,ASBESTOSIS,0,<5,,,
,,,"[0]160, [8]077, [9]077","[0]J61, [9]501",,,,,
B,M,65-90,AGRICULTURAL & FOOD SCIENTISTS,ASBESTOSIS,0,<5,,,
,,,"[0]160, [8]077, [9]077","[0]J61, [9]501",,,,,
W,F,65-90,AGRICULTURAL & FOOD SCIENTISTS,ASBESTOSIS,0,<5,,,
,,,"[0]160, [8]077, [9]077","[0]J61, [9]501",,,,,
W,M,65-90,AGRICULTURAL & FOOD SCIENTISTS,ASBESTOSIS,0,<5,,,
,,,"[0]160, [8]077, [9]077","[0]J61, [9]501",,,,,
B,F,65-90,"BIOLOGICAL, LIFE, AND MEDICAL SCIENTISTS",ASBESTOSIS,0,<5,,,
